,Close,20-day MA,50-day MA,200-day MA
1999-11-01,25.69,,,
1999-11-02,26.25,,,
1999-11-03,26.88,,,
1999-11-04,26.5,,,
1999-11-05,24.31,,,
1999-11-08,23.5,,,
1999-11-09,23.63,,,
1999-11-10,23.88,,,
1999-11-11,24.31,,,
1999-11-12,25.06,,,
1999-11-15,25.88,,,
1999-11-16,26.13,,,
1999-11-17,26.0,,,
1999-11-18,27.13,,,
1999-11-19,26.75,,,
1999-11-22,27.25,,,
1999-11-23,27.0,,,
1999-11-24,28.25,,,
1999-11-26,27.56,,,
1999-11-29,28.44,26.02,,
1999-11-30,27.88,26.1295,,
1999-12-01,28.0,26.217000000000002,,
1999-12-02,27.86,26.266000000000002,,
1999-12-03,28.25,26.353500000000004,,
1999-12-06,27.81,26.528499999999998,,
1999-12-07,27.5,26.728499999999997,,
1999-12-08,27.25,26.9095,,
1999-12-09,27.63,27.097,,
1999-12-10,28.04,27.283499999999997,,
1999-12-13,27.63,27.412,,
1999-12-14,28.5,27.543,,
1999-12-15,28.88,27.680500000000002,,
1999-12-16,28.0,27.7805,,
1999-12-17,28.25,27.8365,,
1999-12-20,28.14,27.906,,
1999-12-21,28.44,27.965500000000002,,
1999-12-22,29.0,28.065500000000004,,
1999-12-23,29.13,28.109500000000004,,
1999-12-27,29.31,28.196999999999996,,
1999-12-28,29.0,28.225,,
1999-12-29,28.63,28.2625,,
1999-12-30,29.13,28.319,,
1999-12-31,29.25,28.3885,,
2000-01-03,29.88,28.47,,
2000-01-04,31.63,28.660999999999994,,
2000-01-05,32.75,28.9235,,
2000-01-06,31.63,29.142500000000002,,
2000-01-07,31.13,29.317499999999995,,
2000-01-10,35.88,29.7095,,
2000-01-11,36.25,30.140499999999996,28.0212,
2000-01-12,33.69,30.4,28.1812,
2000-01-13,34.81,30.696499999999997,28.3524,
2000-01-14,33.56,30.9745,28.486,
2000-01-18,34.5,31.287,28.646,
2000-01-19,34.75,31.6175,28.854799999999997,
2000-01-20,33.63,31.877,29.057399999999998,
2000-01-21,32.75,32.064499999999995,29.2398,
2000-01-24,33.31,32.2735,29.428399999999996,
2000-01-25,37.5,32.683,29.6922,
2000-01-26,36.63,33.064499999999995,29.9236,
2000-01-27,37.13,33.4895,30.1486,
2000-01-28,36.75,33.87050000000001,30.361,
2000-01-31,36.31,34.2235,30.567200000000003,
2000-02-01,36.0,34.5295,30.744600000000002,
2000-02-02,37.25,34.810500000000005,30.9546,
2000-02-03,37.88,35.067,31.167199999999998,
2000-02-04,38.13,35.392,31.3898,
2000-02-07,38.0,35.7355,31.5848,
2000-02-08,37.56,35.819500000000005,31.7848,
2000-02-09,37.69,35.8915,31.9698,
2000-02-10,36.94,36.054,32.150999999999996,
2000-02-11,37.88,36.2075,32.348600000000005,
2000-02-14,37.0,36.3795,32.5314,
2000-02-15,36.88,36.4985,32.70399999999999,
2000-02-16,36.94,36.608,32.8866,
2000-02-17,36.5,36.7515,33.0666,
2000-02-18,35.5,36.888999999999996,33.2316,
2000-02-22,33.38,36.8925,33.3466,
2000-02-23,34.13,36.724000000000004,33.4684,
2000-02-24,33.19,36.55200000000001,33.5796,
2000-02-25,31.0,36.24550000000001,33.6296,
2000-02-28,32.75,36.045500000000004,33.707,
2000-02-29,34.0,35.93,33.827000000000005,
2000-03-01,34.69,35.8645,33.9558,
2000-03-02,34.5,35.727,34.083,
2000-03-03,36.5,35.658,34.2442,
2000-03-06,36.0,35.5515,34.3842,
2000-03-07,36.0,35.451499999999996,34.52160000000001,
2000-03-08,34.94,35.320499999999996,34.63419999999999,
2000-03-09,36.25,35.2485,34.779199999999996,
2000-03-10,35.13,35.158,34.9092,
2000-03-13,34.94,35.010999999999996,35.0254,
2000-03-14,34.13,34.86749999999999,35.123,
2000-03-15,34.81,34.763999999999996,35.221599999999995,
2000-03-16,35.31,34.682500000000005,35.2952,
2000-03-17,36.81,34.698,35.3764,
2000-03-20,39.44,34.895,35.5326,
2000-03-21,39.19,35.185500000000005,35.6938,
2000-03-22,40.5,35.504000000000005,35.7862,
2000-03-23,41.56,35.9225,35.8924,
2000-03-24,41.44,36.4445,36.047399999999996,
2000-03-27,41.75,36.8945,36.1862,
2000-03-28,40.94,37.241499999999995,36.333800000000004,
2000-03-29,40.81,37.5475,36.46,
2000-03-30,40.25,37.835,36.57,
2000-03-31,41.25,38.072500000000005,36.7224,
2000-04-03,41.81,38.363,36.903600000000004,
2000-04-04,41.13,38.6195,37.06,
2000-04-05,40.0,38.8725,37.11,
2000-04-06,40.44,39.082,37.1862,
2000-04-07,41.0,39.3755,37.263600000000004,
2000-04-10,41.31,39.694,37.3548,
2000-04-11,42.5,40.1125,37.4786,
2000-04-12,40.06,40.375,37.5598,
2000-04-13,39.25,40.572,37.5998,
2000-04-14,38.88,40.6755,37.6198,
2000-04-17,38.75,40.641,37.6322,
2000-04-18,39.5,40.6565,37.6622,
2000-04-19,40.94,40.6785,37.7298,
2000-04-20,42.25,40.713,37.821,
2000-04-24,40.25,40.6535,37.8872,
2000-04-25,40.5,40.591,37.9396,
2000-04-26,42.38,40.663000000000004,38.0472,
2000-04-27,41.63,40.704,38.1422,
2000-04-28,43.63,40.873000000000005,38.275999999999996,
2000-05-01,42.0,40.9105,38.385999999999996,
2000-05-02,43.0,40.970000000000006,38.536,
2000-05-03,41.25,40.976,38.6934,
2000-05-04,39.69,40.960499999999996,38.8046,
2000-05-05,39.56,40.9165,38.931999999999995,
2000-05-08,40.56,40.8945,39.123200000000004,
2000-05-09,40.75,40.866499999999995,39.2832,
2000-05-10,41.06,40.7945,39.4244,
2000-05-11,41.13,40.848,39.5532,
2000-05-12,40.81,40.926,39.6794,
2000-05-15,40.81,41.0225,39.7656,
2000-05-16,42.19,41.1945,39.8894,
2000-05-17,42.25,41.332,40.0144,
2000-05-18,41.19,41.3445,40.1394,
2000-05-19,41.06,41.285,40.235600000000005,
2000-05-22,40.88,41.3165,40.3506,
2000-05-23,40.31,41.307,40.458,
2000-05-24,39.31,41.153499999999994,40.561600000000006,
2000-05-25,39.81,41.0625,40.6616,
2000-05-26,39.88,40.875,40.753,
2000-05-30,41.88,40.869,40.8544,
2000-05-31,41.81,40.8095,40.9018,
2000-06-01,41.75,40.834500000000006,40.953,
2000-06-02,40.44,40.872,40.951800000000006,
2000-06-05,40.63,40.9255,40.9332,
2000-06-06,40.88,40.941500000000005,40.922000000000004,
2000-06-07,40.19,40.913500000000006,40.8908,
2000-06-08,40.44,40.8825,40.8808,
2000-06-09,41.56,40.904,40.8958,
2000-06-12,40.71,40.899,40.905,
2000-06-13,40.19,40.868,40.883799999999994,
2000-06-14,40.75,40.79600000000001,40.8626,
2000-06-15,42.0,40.783500000000004,40.88,
2000-06-16,41.19,40.7835,40.903800000000004,
2000-06-19,41.94,40.8275,40.9338,
2000-06-20,41.75,40.871,40.9488,
2000-06-21,41.75,40.943,40.9576,
2000-06-22,41.5,41.0525,40.9376,
2000-06-23,39.63,41.0435,40.928999999999995,
2000-06-26,40.5,41.0745,40.95399999999999,
2000-06-27,40.0,40.9805,40.976400000000005,
2000-06-28,39.16,40.848,40.9846,
2000-06-29,39.5,40.735499999999995,40.9846,
2000-06-30,38.81,40.654,40.942,
2000-07-03,38.56,40.5505,40.8682,
2000-07-05,38.06,40.4095,40.8244,
2000-07-06,37.5,40.275,40.7644,
2000-07-07,38.0,40.153000000000006,40.6768,
2000-07-10,37.81,39.9655,40.6004,
2000-07-11,36.0,39.730000000000004,40.4478,
2000-07-12,36.06,39.5235,40.329,
2000-07-13,37.13,39.3425,40.211600000000004,
2000-07-14,37.44,39.1145,40.135400000000004,
2000-07-17,36.56,38.883,40.0728,
2000-07-18,35.75,38.5735,39.9966,
2000-07-19,37.0,38.336,39.925399999999996,
2000-07-20,38.63,38.18,39.882999999999996,
2000-07-21,37.44,37.977,39.8106,
2000-07-24,36.63,37.827,39.720600000000005,
2000-07-25,37.5,37.677,39.6544,
2000-07-26,38.06,37.58,39.5994,
2000-07-27,38.0,37.522000000000006,39.5156,
2000-07-28,37.88,37.441,39.4282,
